Endurance_meters,Sprint10m_seconds,Flying20m_seconds,Agility_seconds,CMJ_cm,Squat_BW_multiple,StrengthBW_multiple,BodyFat_percent,PlayerPosition,TrainingStatus,FitnessOutput
1491.5,1.666,3.123,10.017,56.6,1.52,1.39,9.7,MF,Not Completed,Unfit
1081.5,1.863,2.294,9.448,68.9,1.5,1.51,7,GK,Completed,Fit
935.9,2.033,3.022,8.656,51.8,2.24,1.32,9.7,FW,Completed,Unfit
1425.9,1.863,2.743,10.749,56.8,1.64,1.67,9,DF,Not Completed,Unfit
1266.2,2.12,2.677,9.627,59.7,1.52,1.68,14.7,GK,Completed,Unfit
990.4,1.666,2.722,8.181,43.8,1.87,1.8,8.9,DF,Partial,Unfit
1152.7,1.596,3.072,8.62,66.7,1.77,1.25,14.3,GK,Not Completed,Fit
1044.8,2.187,2.844,9.899,61.7,1.72,1.56,9.5,FW,Not Completed,Unfit
999.1,1.644,2.892,9.351,42.4,1.48,1.62,11.5,DF,Partial,Unfit
1423,1.92,2.863,9.989,58.1,2.04,1.22,10.4,MF,Completed,Fit
1923.1,1.824,2.909,9.512,61.5,1.75,1.1,14.8,GK,Completed,Unfit
875.3,2.047,3.119,10.028,69.4,1.58,1.78,13.5,FW,Completed,Unfit
1251.1,1.846,2.946,8.84,61.6,1.97,1.4,7,DF,Completed,Fit
1550.3,1.723,2.947,9.37,46.9,1.68,1.63,13.8,GK,Not Completed,Unfit
1028.4,1.803,3.523,,53.8,2.02,1.3,9,GK,Not Completed,Unfit
1281.5,1.829,2.639,9.688,64,1.91,1.12,11.1,MF,Not Completed,Unfit
1407.1,1.946,2.83,10.559,67.2,2.27,1.67,9,DF,Completed,Unfit
1371.7,1.883,3.174,10.442,86.4,1.45,1.34,13.7,MF,Not Completed,Unfit
1000.3,1.853,2.732,9.632,42.9,1.61,1.2,5.4,MF,Partial,Unfit
1567.6,1.781,3.025,8.197,57.8,1.92,1.55,12.9,MF,Completed,Fit
1260.1,1.931,2.863,7.888,54.3,1.67,1.38,11.1,DF,Partial,Fit
1164.5,1.965,2.47,9.353,60.4,1.69,1.69,14.7,DF,Not Completed,Fit
1393.8,1.787,2.449,9.155,50.7,1.31,1.41,4.8,FW,Not Completed,Fit
1000.1,1.988,3.088,11.015,61.5,1.4,0.6,9.7,MF,Completed,Unfit
1592.5,2.058,2.885,9.7,54.6,1.44,1.39,5.4,FW,Completed,Unfit
1252.5,1.903,2.689,10.181,48.3,1.38,1.04,13.3,DF,Completed,Unfit
1235,1.707,2.553,10.551,54,1.31,1.44,9.4,DF,Partial,Unfit
1181.9,1.849,2.621,9.571,61.4,1.77,1.34,8.4,MF,Partial,Fit
1576.8,,2.853,9.051,54.5,2.43,1.13,8.4,DF,Completed,Unfit
1351.5,2.152,2.782,10.12,63.6,1.72,1.7,4.8,FW,Completed,Unfit
1288,1.961,2.557,9.636,,1.67,1.11,11.4,DF,Not Completed,Unfit
1713.8,1.891,3.365,8.562,44.7,1.84,1.53,11,DF,Completed,Unfit
1454.8,1.639,2.682,9.313,52.3,1.94,1.17,10.8,FW,Partial,Unfit
1304.1,1.713,3.127,8.633,56.3,1.84,1.24,8.8,DF,Partial,Unfit
1610.7,1.931,2.849,9.344,43.1,1.34,1.45,13.2,FW,Not Completed,Unfit
1367.1,1.745,3.218,10.74,56,1.27,1.26,7,GK,Not Completed,Unfit
1157.9,1.715,3.623,8.825,54.2,2.04,1.41,11,FW,Partial,Unfit
1230.5,1.721,3.23,9.186,48.1,1.54,1.7,9.8,GK,Completed,Unfit
1064,1.68,3.706,,59.3,1.71,1.61,12,GK,Not Completed,Unfit
1322.3,1.738,2.924,9.805,48.2,1.21,1.4,6.9,GK,Partial,Unfit
1272.2,2.045,2.908,10.332,60.9,1.77,0.9,6.7,FW,Not Completed,Unfit
1528.8,1.734,2.626,10.214,57.9,1.4,1.55,10,GK,Completed,Fit
1796.6,1.831,2.919,9.235,44.6,1.78,1.18,10.3,GK,Completed,Unfit
1202.8,1.663,3.642,9.018,53,1.73,1.49,9.3,DF,Not Completed,Unfit
1126,1.839,3.31,9.744,49,1.71,1.03,10.4,GK,Partial,Unfit
1367,1.844,2.807,9.67,37.9,1.41,1.67,9.6,GK,Partial,Unfit
1747.8,1.641,3.092,9.477,58.4,1.51,1.27,7.9,GK,Partial,Fit
1272.9,1.977,2.712,8.671,55.3,1.88,0.96,11.6,FW,Completed,Unfit
1322.8,1.698,2.641,8.066,52,1.87,1.52,9.5,FW,Partial,Fit
1701.8,,2.578,9.139,56.6,1.31,1.55,10.6,FW,Completed,Unfit
1330.9,1.913,2.2,8.514,63.2,1.84,1.15,7.8,DF,Partial,Unfit
1491,1.887,2.611,10.156,46.9,1.56,1.74,8,GK,Completed,Unfit
,1.944,2.883,10.243,45,2.31,1.64,13.2,FW,Partial,Unfit
1165.6,1.931,3.281,9.542,67.7,1.71,1.48,12.7,MF,Partial,Unfit
11681,2.006,2.929,9.092,66.3,1.58,2.1,17.2,DF,Partial,Unfit
,1.826,2.522,10.527,68.1,1.25,1.43,9.7,DF,Completed,Unfit
1333.7,1.474,3.054,8.243,43.9,1.68,1,11.4,DF,Partial,Unfit
1282.4,1.948,3.163,8.765,46,1.41,1.85,12.5,DF,Completed,Unfit
1603.5,1.824,2.914,9.779,50.4,1.72,1.63,10.9,MF,Partial,Fit
872.1,2.032,2.337,8.86,43.2,19.6,1.29,16.2,FW,Partial,Unfit
972.8,1.834,2.795,8.872,50.5,1.83,1.12,5.2,DF,Partial,Unfit
1267.8,1.4,3.199,10.15,51.7,1.4,1.7,10,DF,Partial,Unfit
1649.7,2.003,2.771,7.754,57.3,2.2,1.59,11.4,DF,Partial,Unfit
1251.4,,2.578,9.668,41.6,1.5,1.48,6.3,MF,Not Completed,Unfit
1199.1,1.844,3.065,10.105,40.4,1.67,1.46,7.8,DF,Partial,Unfit
1074.3,2.001,3.071,9.466,65.6,2.02,1.53,5.6,FW,Completed,Unfit
1566.5,2.116,3.29,9.596,59.6,1.49,1.45,14.1,DF,Not Completed,Unfit
1542.1,1.887,2.907,9.714,67.5,1.7,1.55,10,FW,Completed,Fit
742.6,1.977,3.327,9.602,51.6,1.57,1.79,8.2,MF,Completed,Unfit
1333.7,1.9,2.608,9.923,45.5,1.7,1.6,8.4,FW,Not Completed,Unfit
1345.2,1.767,2.959,10.407,47.4,1.71,1.36,10.5,GK,Completed,Unfit
1044.4,1.76,2.986,9.871,63,1.96,1.62,10.7,FW,Not Completed,Fit
1219.3,1.931,3.171,10.433,60.2,1.56,1.61,11.2,MF,Not Completed,Unfit
1169.9,1.712,3.144,9.321,51.4,1.63,1.25,11.1,MF,Not Completed,Unfit
1389.2,1.711,3.011,9.422,51.8,1.86,1.13,8.2,GK,Partial,Unfit
1721.9,1.791,2.687,9.164,62.2,1.74,1.68,8.1,MF,Partial,Fit
1172.7,2.074,2.793,,60.4,1.74,1.5,11.1,MF,Not Completed,Unfit
963.5,1.876,2.467,9.837,42.9,1.59,1.14,4,FW,Partial,Unfit
1179,1.856,2.964,9.467,72.9,1.53,1.27,11.1,FW,Not Completed,Fit
1324.4,1.95,2.948,9.914,58.8,2.15,1.43,13.1,GK,Completed,Fit
1611.4,1.789,2.976,,68,1.91,1.45,11.4,GK,Partial,Fit
1056.1,1.923,3.002,9.061,59.9,1.6,1.52,11.9,MF,Completed,Fit
1356.1,1.629,3.081,8.705,44.5,1.88,1.3,6.1,FW,Completed,Unfit
1414.9,2.077,2.793,8.587,59.4,1.66,1.47,8.1,GK,Completed,Unfit
1494.1,1.922,2.2,9.226,47.6,1.88,1.3,10.7,GK,Partial,Unfit
1749.6,1.701,,9.824,62.2,1.86,1.12,10.9,MF,Not Completed,Unfit
949.8,1.76,2.991,10.525,39,1.2,1.07,14,FW,Not Completed,Unfit
1199.1,1.693,3.051,8.068,44.1,1.62,1.34,13.2,MF,Completed,Unfit
728.9,1.701,3.159,9,56,2.17,1.38,8.2,GK,Not Completed,Unfit
745.2,2.105,3.148,9.978,60.3,17.7,1.33,8.3,DF,Completed,Unfit
1345,1.954,2.531,9.692,47.3,2,1.39,11.6,MF,Not Completed,Unfit
1226.4,2.008,3.385,8.848,58.1,1.57,1.61,12.7,MF,Partial,Unfit
1159.5,1.942,2.72,8.826,63,1.81,1.2,12.9,FW,Partial,Unfit
1149.7,1.815,2.972,9.139,63.8,1.66,1.12,11.4,FW,Partial,Unfit
1771.1,1.847,2.925,8.468,81.6,1.65,1.44,10.5,GK,Not Completed,Fit
1094,1.503,3.098,9.221,50.9,1.64,1.17,5.8,MF,Not Completed,Unfit
987.9,1.807,3.287,9.351,56.1,1.95,1.16,8.8,MF,Completed,Unfit
1162.8,1.625,2.934,,43.6,1.68,1.74,9.1,DF,Completed,Unfit
1273.5,1.4,3.065,9.482,59.2,1.85,1.54,12.7,GK,Completed,Fit
1019.6,1.909,3.271,9.255,62.9,1.85,1.26,7.6,DF,Partial,Unfit
833.8,2.072,2.687,9.185,59.2,1.94,1.62,6.6,MF,Completed,Unfit
936,1.83,2.92,10.075,51.3,1.92,1.21,6.7,GK,Completed,Unfit
1596.2,1.68,2.887,9.824,36.5,1.67,1.37,14.6,FW,Not Completed,Unfit
929.7,1.895,3.003,111.37,47.8,1.52,1.39,13,MF,Partial,Unfit
1304.3,1.573,2.837,9.409,56.9,1.92,1.1,11.8,FW,Completed,Unfit
916.9,1.982,2.71,9.956,52.1,2.19,1.71,12.2,MF,Not Completed,Unfit
1455.6,1.724,2.869,9.451,54.4,1.45,1.82,13.1,GK,Partial,Fit
1457,1.823,2.748,9.032,56.1,1.18,1.56,11.7,GK,Completed,Unfit
1153.2,1.765,3.095,9.867,56.1,1.52,1.61,11.6,GK,Not Completed,Fit
1450.3,2.158,3.028,9.362,28.3,1.52,1.87,5.8,FW,Completed,Unfit
1433.9,1.713,2.829,9.382,49.5,0.98,1.35,6.8,DF,Completed,Unfit
787.8,1.65,2.999,10.168,66.7,2.14,1.25,8.3,DF,Not Completed,Unfit
1314.6,1.77,2.684,9.46,52.1,1.74,1.22,9.6,FW,Completed,Fit
844.3,1.685,3.063,9.339,52.8,1.97,1.8,7.7,MF,Partial,Unfit
1400.1,2.114,2.705,8.665,38.6,1.8,1.67,7.6,FW,Partial,Unfit
1572.8,2.075,2.941,9.489,59.1,2.18,1.39,8.8,MF,Not Completed,Unfit
1495.1,2.029,3.025,10.213,61.6,1.28,1.51,9.8,MF,Partial,Unfit
1118.5,1.882,3.198,9.19,49.6,1.77,1.72,9.4,MF,Partial,Unfit
1268.5,1.778,,9.86,53.6,1.92,1.45,12.3,MF,Completed,Fit
1291,1.648,,9.861,54,1.23,1.57,9.5,GK,Partial,Unfit
1156.8,1.866,3.056,9.254,71.3,1.77,1.52,7.9,DF,Partial,Fit
1200.1,2.168,2.582,10.293,63,2.08,1.46,9.8,GK,Partial,Unfit
1563.4,1.721,2.655,9.924,58.8,1.33,1.15,11.4,FW,Completed,Unfit
1611.8,1.819,2.899,10.234,65.8,1.59,1.15,7.2,GK,Partial,Unfit
1283.1,1.582,3.051,8.745,52.7,1.87,1.04,11.8,DF,Not Completed,Unfit
1709,2.078,3.289,10.29,49.1,1.53,1.46,16.7,DF,Completed,Unfit
1444.5,1.924,3.024,8.337,35.6,1.72,1.2,10.7,DF,Not Completed,Unfit
1845.3,1.744,2.6,9.889,53.6,1.9,1.41,11.1,FW,Not Completed,Fit
1586.1,2.046,3.08,9.15,60.5,1.48,1.86,13.3,GK,Completed,Unfit
1540.9,1.75,3.002,9.221,74.2,1.6,1.64,9.2,FW,Completed,Fit
1211.6,2.014,3.009,10.583,67.4,2.01,1.45,15.1,GK,Completed,Unfit
1104.9,1.859,2.545,10.341,61.6,1.66,1.17,7.7,FW,Completed,Unfit
864.4,1.785,2.857,9.92,73,1.81,1.02,6.8,GK,Not Completed,Unfit
1477,1.981,3.069,10.95,54.2,2.01,1.43,11.7,GK,Completed,Unfit
1271.8,,3.281,9.419,,1.72,1.67,10.7,DF,Not Completed,Unfit
1106,1.524,3.08,11.044,67,1.73,1.83,8.3,MF,Not Completed,Unfit
1782.7,1.978,3.13,8.949,581,1.99,1.27,12.3,FW,Not Completed,Unfit
1306.7,2.02,3.222,9.628,58.4,1.64,0.91,7.4,FW,Partial,Unfit
1306.5,1.891,2.775,9.64,57.9,1.26,1.65,9.7,MF,Not Completed,Unfit
1483.6,1.951,3.035,9.138,44.1,1.44,1.4,10.2,FW,Completed,Unfit
1185.1,2.114,2.724,8.542,62.6,0.98,1.61,8.4,DF,Completed,Unfit
1366.8,1.813,2.814,9.302,58.4,2.15,1.46,8.9,GK,Completed,Fit
1221.1,1.836,2.48,8.705,58,2.15,1.46,11.8,GK,Partial,Fit
1720.1,1.956,3.146,8.227,64.2,1.97,1.19,13.4,MF,Not Completed,Unfit
,1.796,2.814,8.828,31.3,1.52,1.2,9,GK,Partial,Unfit
1002.7,2.005,3.01,9.315,53.7,1.52,1.81,7.6,MF,Partial,Unfit
1169.3,1.755,2.979,10.079,52.2,1.95,1.36,6.6,GK,Not Completed,Fit
1240.5,1.878,2.849,8.953,38.5,1.83,1.66,9.4,GK,Completed,Unfit
1148,2.079,2.966,10.573,42.1,1.54,1.51,10.3,GK,Completed,Unfit
1201.8,2.094,2.969,10.655,50.9,1.44,1.19,12.5,MF,Partial,Unfit
1600.8,2.247,3.08,10.499,63.3,1.56,1.33,14.1,MF,Completed,Unfit
1258.3,1.967,2.627,8.182,66.2,1.64,1.55,11.2,DF,Completed,Fit
1354.7,2.035,2.78,9.801,53.8,1.49,1.34,13.2,MF,Partial,Unfit
1381.2,1.583,3.123,11.071,66,1.84,1.2,9,MF,Partial,Unfit
786.8,1.723,2.851,9.646,52.2,1.46,1.25,12.3,GK,Completed,Unfit
1086.9,1.849,3.204,9.522,57,1.78,1.03,11.6,GK,Partial,Unfit
1426.2,2.124,2.77,9.77,47.2,1.79,1.46,6.7,DF,Not Completed,Unfit
1203.2,1.845,3.02,9.042,55.6,1.2,1.25,9.7,FW,Partial,Unfit
1929.5,1.774,2.946,10,75,1.75,1.18,8.8,DF,Partial,Unfit
1485,1.975,2.784,10.469,59.5,1.57,1.25,8.3,FW,Not Completed,Fit
1633.3,2.087,2.969,9.85,37.8,1.86,1.64,6.9,DF,Completed,Unfit
1718.4,1.667,2.837,9.924,645,1.89,1.62,14.6,GK,Completed,Fit
1456.4,1.94,2.948,,54.7,1.79,1.74,8.3,MF,Partial,Fit
1372,1.619,2.861,10.013,,2.14,1.25,9.1,FW,Completed,Fit
1471.3,1.63,3.257,9.809,52.2,2.36,1.49,13,MF,Completed,Unfit
1258.4,1.862,2.789,10.852,53.3,1.79,1.81,11.3,FW,Partial,Unfit
1203.1,2.065,2.43,9.886,45.4,1.26,1.41,5.2,DF,Partial,Unfit
1491.7,1.692,3.062,9.418,63.6,1.54,1.35,7.5,GK,Partial,Fit
1485.8,2.051,3.407,10.894,43,1.53,1.29,10.7,FW,Completed,Unfit
1541.5,,2.922,9.246,51.5,1.51,1.68,9.5,MF,Completed,Fit
1279,1.954,31.46,8.913,68.6,1.56,1.77,10.9,DF,Not Completed,Unfit
897.6,2.135,2.652,8.734,44.2,1.71,1.09,11,MF,Not Completed,Unfit
1720.9,1.999,2.638,9.816,57.9,1.76,1.55,14.7,MF,Completed,Fit
1263.8,1.891,2.927,9.246,53.6,2.28,1.52,13.2,FW,Completed,Fit
1056.2,1.874,3.083,10.469,54.5,2.07,1.21,13.3,FW,Partial,Fit
862.8,1.862,3.249,9.023,67.2,1.67,1.75,13,GK,Partial,Unfit
1262.4,1.875,2.924,9.869,51,1.5,1.36,9.1,FW,Not Completed,Fit
1556.2,2.076,3.337,9.768,32.6,1.37,1.45,6.6,GK,Completed,Unfit
1294.1,1.704,2.546,10.425,56.7,1.11,1.05,6.1,GK,Completed,Unfit
1801.7,1.618,2.825,10.816,54.1,1.36,1.67,8.2,FW,Completed,Unfit
1794.4,1.734,2.732,9.341,56.6,1.81,1.49,9.8,GK,Completed,Fit
13153,1.915,3.241,10.252,51.4,1.76,0.89,8,MF,Completed,Unfit
1379.7,1.736,2.646,11.191,50.4,1.57,1.58,11.8,FW,Partial,Unfit
1396.1,1.865,2.2,9.682,58.1,2.03,1.33,13,MF,Not Completed,Fit
,1.842,3.427,9.64,65.3,2.07,1.55,14.9,MF,Partial,Unfit
1330.6,1.782,3.016,10.308,60.4,0.84,1.18,8.5,MF,Partial,Unfit
1673.9,1.833,2.874,8.581,53.6,1.35,1.55,6.9,FW,Completed,Fit
1372.3,2.003,2.692,9.681,45.3,1.89,1.57,9.5,DF,Completed,Unfit
1783.3,1.686,2.911,9.741,60.1,1.73,1.46,7.9,FW,Completed,Fit
1551.9,1.854,2.885,9.015,35.2,1.63,1.34,11.2,GK,Partial,Unfit
1354.8,2.016,2.929,10.094,59.5,1.28,1.27,9.3,GK,Partial,Unfit
1199.4,1.944,2.906,9.917,,1.9,1.17,12.6,MF,Partial,Unfit
1139.1,1.934,3.04,9.52,69.4,1.46,1.4,11,GK,Completed,Fit
1578.2,2.051,2.75,10.362,49.1,1.83,1.28,10.9,MF,Partial,Unfit
1566.5,1.686,2.301,9.953,42.3,1.23,1.48,9.1,MF,Completed,Unfit
1104.1,1.811,2.896,9.797,43.5,1.37,1.37,12.1,GK,Completed,Unfit
1428.6,1.836,2.732,9.354,58,2.16,1.73,11.6,GK,Not Completed,Fit
1531.1,1.771,2.998,9.838,59.6,2.12,1.57,5.8,FW,Not Completed,Fit
,1.949,3.093,9.039,51.6,1.55,1.13,8,FW,Partial,Unfit
1094.3,1.863,3.066,9.446,57.2,1.24,16.8,9.2,DF,Not Completed,Unfit
1150.6,1.776,3.246,9.498,53.1,1.52,1.57,5.6,MF,Partial,Unfit
1185.6,1.991,2.823,9.07,71.2,1.72,1.48,8,GK,Partial,Fit
1395,1.853,2.533,9.229,62.7,2.14,1.63,10.6,DF,Not Completed,Fit
1466,1.873,3.015,9.855,49.2,1.32,1.65,14.9,MF,Completed,Unfit
821.9,1.856,2.558,9.227,72.4,2.29,1.5,17.4,GK,Completed,Unfit
1056.4,1.929,3.163,9.749,,2.04,1.97,6.7,FW,Partial,Unfit
1382.6,1.812,2.8,9.903,55.6,1.56,1.29,7.5,FW,Partial,Fit
1301,1.85,2.746,8.766,60,1.65,1.3,9.6,DF,Not Completed,Fit
1373.5,2.073,3.157,8.413,46.8,1.89,1.16,15.3,FW,Completed,Unfit
1524.4,1.84,2.704,9.922,68,2.09,1.27,8.2,GK,Completed,Fit
1239.1,1.914,2.721,10.452,54.3,1.7,1.12,12.9,MF,Partial,Unfit
782.2,2.005,3.352,9.899,55,1.92,1.68,11.3,FW,Completed,Unfit
1003.4,1.865,2.827,9.214,65.3,1.44,1.47,11.7,MF,Not Completed,Fit
1753.9,1.881,2.75,9.067,56.1,1.33,1.54,9.1,GK,Completed,Fit
1207.2,1.89,2.914,9.562,46.9,1.85,0.75,12,DF,Partial,Unfit
1329.9,1.92,3.162,10.128,54.4,2.05,1.31,6.9,DF,Partial,Unfit
1569.8,1.98,2.809,9.529,68.1,1.71,1.34,8.9,DF,Completed,Fit
1162.1,1.979,2.76,8.51,41.4,1.29,1.45,8,MF,Partial,Unfit
1364.9,1.656,2.572,10.073,40.6,1.62,1.33,13.4,DF,Completed,Unfit
1057.4,1.968,3.401,8.515,66,1.8,11.7,4.8,DF,Completed,Unfit
1586.8,1.539,3.084,9.232,57.8,1.62,1.42,7.7,MF,Not Completed,Fit
,2.294,2.737,10.047,67.4,1.77,1.91,9.2,DF,Completed,Unfit
1109.5,1.553,2.945,9.557,57.9,1.81,1.15,4,MF,Partial,Unfit
796.7,1.73,2.817,9.334,42.1,1.38,0.78,13.6,DF,Not Completed,Unfit
1256.3,,2.843,9.45,52.9,1.61,1.67,8.7,GK,Completed,Fit
1062.7,1.763,3.075,9.743,47.8,1.54,1.33,7.5,FW,Partial,Unfit
1330.4,1.667,,9.414,38.5,1.75,1.23,6.8,MF,Completed,Unfit
1383.6,,2.589,9.523,49.5,1.41,0.89,8.4,MF,Completed,Unfit
1300.8,1.808,2.928,10.005,51.9,1.78,1.36,11.5,DF,Completed,Fit
1175.1,2.105,3.356,9.213,59.2,1.66,1.47,12.8,MF,Completed,Unfit
1217.8,1.698,3.153,8.987,43.8,2,1.48,11,DF,Completed,Unfit
1020.3,1.999,2.464,8.648,61.3,1.93,0.68,13.7,DF,Partial,Unfit
1334.9,1.795,2.937,9.885,53.7,1.86,1.51,11.6,GK,Not Completed,Fit
1070.3,1.787,3.159,9.358,43.2,1.36,1.32,9.4,GK,Not Completed,Unfit
1580.4,1.953,2.683,8.602,25.7,1.95,1.39,5.9,GK,Not Completed,Unfit
1319.7,1.86,3.112,8.752,61.2,1.72,1.82,9.8,FW,Partial,Unfit
1243.1,1.642,2.707,8.676,45.7,1.54,1.05,7.1,MF,Not Completed,Unfit
1312.5,1.7,2.817,9.667,65.4,1.52,1.28,5.6,GK,Not Completed,Fit
1545.4,1.59,2.708,10.871,59.6,1.14,1.72,11.6,DF,Completed,Unfit
1548.1,1.679,2.514,9.23,67,1.84,1.22,8.2,MF,Partial,Fit
1435.9,1.807,2.754,10.294,45,1.94,1.28,5.9,DF,Completed,Unfit
578.8,1.61,2.976,11.278,56.9,1.51,1.5,10.5,FW,Partial,Unfit
1537.9,1.812,3.16,9.873,59.6,1.77,1.66,6,MF,Completed,Unfit
883.3,1.832,3.57,9.637,55.9,1.55,1.27,4,MF,Partial,Unfit
1385.7,1.689,2.566,8.727,52.1,1.79,19.6,13.5,MF,Not Completed,Fit
1398.1,1.622,2.956,10.132,44.5,1.61,1.25,10.6,MF,Completed,Unfit
1198.2,2.102,3.12,10.014,67.3,1.68,1.63,11.8,DF,Partial,Unfit
1571.9,1.982,2.648,10.457,48,1.34,1.26,11.8,GK,Partial,Unfit
1085.8,1.932,3.085,8.758,51.9,1.96,1.22,8,MF,Not Completed,Fit
1415.6,1.678,2.486,8.951,66.4,1.31,1.21,6.1,FW,Partial,Fit
,1.743,3.22,10.421,81,2.31,0.94,6.6,FW,Partial,Unfit
1289,1.891,3.508,8.098,48.4,1.37,1.28,8.8,GK,Completed,Unfit
1403.6,1.57,2.888,9.239,57.4,2.6,1.3,11.8,GK,Completed,Fit
1663.9,1.721,2.556,9.401,71.4,1.4,1.66,7.6,MF,Not Completed,Fit
1116.8,1.917,2.326,8.856,57.1,1.59,1.14,8.1,FW,Not Completed,Unfit
1423.3,1.75,2.761,9.447,54.2,1.78,1.88,4,MF,Partial,Fit
1380.2,1.633,3.049,9.958,38.5,2.09,1.45,10.4,MF,Partial,Unfit
1424,1.791,2.815,8.807,56.7,1.28,1.21,10.4,MF,Completed,Unfit
1175.3,1.673,2.704,10.097,54.1,1.69,1.04,7.5,GK,Completed,Unfit
1337.3,2.128,2.959,11.064,44.7,1.44,1.25,17.3,DF,Partial,Unfit
818.8,1.906,2.888,10.556,61.7,2.03,1.53,13.2,FW,Partial,Unfit
1206.3,2.019,2.934,9.004,40.8,1.7,1.6,9.3,FW,Partial,Unfit
1040.7,2.161,2.985,10.092,35.1,1.62,1.23,8.3,FW,Completed,Unfit
1459.2,1.881,3.06,10.067,57,1.93,1.05,6.9,MF,Not Completed,Unfit
1290.4,1.745,2.524,10.532,66.6,1.81,1.21,8.2,DF,Partial,Unfit
1058.6,2.123,3.084,9.957,72.3,1.58,1.67,9.3,MF,Partial,Unfit
950.3,1.796,2.721,10.555,50,1.59,1.25,11.1,MF,Partial,Unfit
1425.3,1.754,2.404,8.809,56.9,1.36,1.81,9.1,FW,Partial,Fit
1589.9,1.521,2.898,8.925,62.8,2.11,1.38,8,MF,Completed,Fit
1743.8,1.908,2.679,10.24,52.9,1.56,1.33,6.1,GK,Not Completed,Fit
1403.8,1.913,3.211,9.265,78.6,2.06,1.6,7.2,FW,Not Completed,Unfit
1457.7,2.109,2.892,8.466,58.6,1.81,0.95,9.7,FW,Partial,Unfit
1453.9,1.924,3.1,11.324,35.8,2.1,1.17,9.2,DF,Completed,Unfit
1056.6,1.774,2.935,10.29,68.2,2.41,1.26,9.9,FW,Completed,Fit
1490.6,1.792,3.333,10.915,68.1,1.43,1.7,11.4,FW,Not Completed,Unfit
1260.7,2.267,2.607,10.435,62.6,1.6,1.39,5,MF,Completed,Unfit
1546.3,2.003,2.96,9.164,60.1,1.11,1.46,10.1,GK,Not Completed,Unfit
774.2,1.997,2.552,11.49,48.3,1.33,1.34,4,DF,Partial,Unfit
1609.5,1.918,2.587,8.511,65.1,1.49,2.01,15.8,GK,Completed,Unfit
1684.8,,3.56,9.647,61.7,1.68,1.46,6.6,MF,Not Completed,Unfit
1380.2,1.617,2.621,9.148,45.3,1.49,1.79,9.5,DF,Partial,Unfit
1151.6,1.939,2.902,9.443,65.8,1.7,1.2,7.9,FW,Partial,Unfit
951.2,,3.198,9.01,47.9,1.81,1.13,10.4,DF,Not Completed,Unfit
968.8,1.827,2.779,,43.7,2.01,1.39,9.9,GK,Partial,Unfit
1522.4,1.933,2.607,10.955,31.7,1.48,1.31,13.9,DF,Completed,Unfit
1082.6,1.904,3.132,10.802,45.7,1.3,1.23,11.2,MF,Partial,Unfit
1406.7,17.06,3.151,9.483,56.8,1.85,1.83,7,DF,Partial,Unfit
1456,1.646,2.929,7.894,41.7,2.01,1.03,10.2,GK,Partial,Unfit
,1.711,3.29,9.051,61.6,1.49,1.27,8,GK,Partial,Unfit
1309.7,2.25,2.919,10.297,67,1.46,1.39,10.7,FW,Not Completed,Unfit
1437.5,1.773,3.259,9.599,56,1.68,1.69,12.2,DF,Completed,Unfit
1068.9,1.769,2.934,9.984,58.6,1.41,1.32,9.4,FW,Partial,Fit
1600.2,2.098,2.53,10.428,57.7,1.5,1.16,9.3,GK,Partial,Unfit
1227,1.652,3.325,9.409,49.7,2.15,1.72,9.5,FW,Partial,Unfit
1584.5,1.859,2.971,9.725,46.3,0.9,1.48,13.3,DF,Partial,Unfit
1320.1,1.756,2.947,8.948,63.3,2.25,1.14,10.5,DF,Completed,Unfit
1128.3,,2.849,9.407,47.6,0.99,1.52,11.4,DF,Completed,Unfit
1345.3,2.073,3.364,9.851,64.3,1.95,1.53,6.3,FW,Completed,Unfit
1017.1,1.573,2.863,9.552,73,2.03,1.59,13,DF,Completed,Fit
1240.5,1.795,2.931,10.254,59.4,1.57,1.44,8,MF,Completed,Fit
1285.5,1.652,2.834,8.629,52.4,2.17,1.67,14.4,MF,Partial,Fit
1357.9,1.801,3.156,9.386,53.4,1.87,1.28,10,DF,Partial,Unfit
1071.2,1.767,,10.252,57.9,1.46,1.24,9.1,FW,Partial,Unfit
1441.2,1.814,2.992,9.166,58.9,1.84,1.54,10.4,FW,Partial,Fit
,1.429,2.698,,50.2,1.79,1.66,8.9,GK,Partial,Fit
1653.3,1.747,3.111,9.606,47.1,1.93,1.64,7.3,FW,Completed,Unfit
1116.1,2.052,3.361,10.103,56.3,1.56,1.63,10,FW,Partial,Unfit
1186.4,,2.953,9.592,58.9,1.62,1.17,4,DF,Partial,Unfit
808.4,2.103,2.552,8.719,,2,1.54,12.1,MF,Not Completed,Unfit
1307.4,1.986,2.676,11.137,54,1.93,1.33,12.5,GK,Not Completed,Unfit
1336.5,1.582,2.678,9.819,62.5,1.55,1.36,7.2,FW,Partial,Fit
1397.7,1.984,2.56,9.093,57.6,1.48,1.46,12.4,MF,Not Completed,Fit
1689.9,1.888,3.099,9.664,48.3,1.62,1.57,10.3,GK,Not Completed,Unfit
1199.2,1.558,2.615,10.568,62.5,1.62,1.17,11.8,GK,Partial,Unfit
1443,1.927,2.561,9.535,,1.67,1.56,6.3,GK,Not Completed,Fit
907,1.783,2.337,10.571,61.3,1.86,1.68,10.3,GK,Completed,Unfit
